Niter, r1x, r1y, r2x, r2y, r3x, r3y, r4x, r4y, r5x, r5y
0,0,0,0,0,0,0,0,0,0,0
1,0.288,0.288,0.190476,0.190476,0.191617,0.191617,0.190476,0.190476,0.191617,0.191617
2,0.223488,0.047232,0.226757,0.14966,0.225773,0.15085,0.230947,0.152425,0.231015,0.154352
3,0.237939,0.248514,0.233668,0.158406,0.233503,0.158172,0.234876,0.157509,0.235041,0.156937
4,0.234702,0.0802423,0.234984,0.156532,0.234911,0.156628,0.235254,0.156764,0.235294,0.156863
5,0.235427,0.220917,0.235235,0.156934,0.235223,0.156915,0.23529,0.156878,0.235294,0.156863
6,0.235264,0.103313,0.235283,0.156848,0.235279,0.156853,0.235294,0.156857,0.235294,0.156863
7,0.235301,0.20163,0.235292,0.156866,0.235291,0.156865,0.235294,0.156863,0.235294,0.156863
8,0.235293,0.119437,0.235294,0.156862,0.235294,0.156862,0.235294,0.156863,0.235294,0.156863
9,0.235294,0.188151,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
10,0.235294,0.130706,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
11,0.235294,0.17873,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
12,0.235294,0.138582,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
13,0.235294,0.172145,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
14,0.235294,0.144086,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
15,0.235294,0.167544,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
16,0.235294,0.147933,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
17,0.235294,0.164328,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
18,0.235294,0.150622,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
19,0.235294,0.16208,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
20,0.235294,0.152501,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
21,0.235294,0.160509,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
22,0.235294,0.153814,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
23,0.235294,0.159411,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
24,0.235294,0.154732,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
25,0.235294,0.158644,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
26,0.235294,0.155374,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
27,0.235294,0.158108,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
28,0.235294,0.155822,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
29,0.235294,0.157733,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
30,0.235294,0.156135,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
31,0.235294,0.157471,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
32,0.235294,0.156354,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
33,0.235294,0.157288,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
34,0.235294,0.156507,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
35,0.235294,0.15716,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
36,0.235294,0.156614,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
37,0.235294,0.15707,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
38,0.235294,0.156689,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
39,0.235294,0.157008,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
40,0.235294,0.156741,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
41,0.235294,0.156964,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
42,0.235294,0.156778,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
43,0.235294,0.156934,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
44,0.235294,0.156804,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
45,0.235294,0.156912,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
46,0.235294,0.156821,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
47,0.235294,0.156897,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
48,0.235294,0.156834,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
49,0.235294,0.156887,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
50,0.235294,0.156843,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
51,0.235294,0.15688,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
52,0.235294,0.156849,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
53,0.235294,0.156875,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
54,0.235294,0.156853,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
55,0.235294,0.156871,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
56,0.235294,0.156856,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
57,0.235294,0.156869,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
58,0.235294,0.156858,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
59,0.235294,0.156867,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
60,0.235294,0.156859,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
61,0.235294,0.156866,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
62,0.235294,0.15686,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
63,0.235294,0.156865,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
64,0.235294,0.156861,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
65,0.235294,0.156864,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
66,0.235294,0.156862,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
67,0.235294,0.156864,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
68,0.235294,0.156862,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
69,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
70,0.235294,0.156862,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
71,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
72,0.235294,0.156862,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
73,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
74,0.235294,0.156862,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
75,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
76,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
77,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
78,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
79,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
80,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
81,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
82,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
83,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
84,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
85,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
86,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
87,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
88,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
89,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
90,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
91,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
92,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
93,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
94,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
95,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
96,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
97,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
98,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
99,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863,0.235294,0.156863
